Transformer,Mode,Accuracy,Subset_Accuracy,F1_Score,F1_Micro,Hamming_Loss,Train_Time_sec,Feature_Space_MB,Label
roberta,transformer_only,0.794332,0.089506,0.318911,0.405515,0.205668,2.068472,23.552628,"roberta
transformer_only"
roberta,embedding,0.775814,0.055556,0.337662,0.418063,0.224186,5.689216,47.110863,"roberta
embedding"
roberta,combined,0.782828,0.074074,0.331732,0.413636,0.217172,205.100107,71.224087,"roberta
combined"
sentence-transformers,transformer_only,0.765713,0.049383,0.237397,0.374532,0.234287,0.815572,8.835831,"sentence-transformers
transformer_only"
sentence-transformers,embedding,0.738496,0.009259,0.24626,0.364256,0.261504,1.831661,17.654282,"sentence-transformers
embedding"
sentence-transformers,combined,0.767957,0.04321,0.259283,0.37301,0.232043,70.491731,27.039215,"sentence-transformers
combined"
distilbert,transformer_only,0.728395,0.009259,0.225229,0.365662,0.271605,10.495693,17.665909,"distilbert
transformer_only"
distilbert,embedding,0.755892,0.040123,0.238714,0.373199,0.244108,9.662311,35.337234,"distilbert
embedding"
distilbert,combined,0.705668,0.018519,0.260536,0.369212,0.294332,38.758854,53.563644,"distilbert
combined"
baseline,baseline,0.771605,0.049383,0.255041,0.384266,0.228395,7.184278,1.267029,"baseline
baseline"
